   Y(Boylam)    X(Enlem)
   40.2679370   37.3646570
   40.5870361   37.1931114
   40.4867360   37.4773680
   41.3734300   37.4151480
   41.2139970   37.0696439
   40.9548250   37.4031100
   40.8870890   37.5339280
   40.8230190   37.3396080
   34.6414811   36.8121041
   32.8328890   36.0772860
   33.3210030   36.1431929
   32.9739010   36.1054300
   34.5935879   37.1665300
   34.3101670   36.6058189
   33.3991240   36.3387340
   34.3976356   36.8573692
   33.4371000   36.6453810
   33.9253110   36.3763300
   34.8952102   36.9165612
   34.6414811   36.8121041
   34.6414811   36.8121041
   27.4305400   37.0344070
   28.7999910   36.7666200
   27.6858440   36.7262170
   29.1263470   36.6592460
   28.3661230   37.4453820
   28.6885930   36.9660340
   28.2708780   36.8549360
   28.4321570   37.4213499
   27.7807950   37.3116380
   28.7654690   36.8387230
   29.3591524   36.6480362
   28.4177560   37.1021530
   28.1400320   37.3402530
   42.2680570   39.0965599
   41.6907780   38.6842630
   41.7858260   38.7385870
   42.5409600   39.1461450
   41.4910380   38.7345610
   41.4559740   39.1732910
   34.5088870   38.5501090
   34.8420810   38.7108140
   34.7333650   38.3745480
   34.6192030   38.7425650
   34.5608540   38.9429290
   34.8525220   39.2146450
   34.7141510   38.6246940
   34.9121820   38.6311690
   34.3712150   37.9979850
   34.5617770   37.8940250
   34.9857240   37.8334880
   34.4847720   38.1750570
   34.6766080   37.9697740
   34.4842560   37.5465460
   37.0182750   40.7913220
   29.2221615   40.9986750
   37.3988350   40.6845000
   37.5274790   40.9034710
   37.4530900   40.8795560
   37.0620698   40.9806925
   37.5003600   41.0312310
   37.6175820   40.6877270
   38.0562400   40.9668240
   37.6009079   40.7914200
   37.0800539   41.0598050
   37.8896340   40.8587260
   37.4483660   40.7506650
   37.3446320   40.8285820
   37.2614660   40.8727730
   37.7735550   40.4633070
   37.7734690   41.0670890
   37.7585390   40.8729550
   37.2886359   41.1272400
   36.5725940   37.1966220
   36.4533170   37.2401790
   36.5529870   37.1317230
   36.0974230   37.3740219
   36.2464002   37.0746279
   36.0276310   37.4473259
   36.1452160   37.0624150
   40.9890950   41.1917820
   41.0036300   41.0493070
   40.7275350   41.0901540
   40.4217770   41.0239800
   41.1400570   41.2706609
   40.6125850   40.9777280
   40.8990579   41.0482020
   40.5619510   40.7752350
   40.3606290   41.0121759
   40.4423980   40.9288090
   40.8867649   41.1806620
   40.5176660   41.0255110
   30.3948169   40.7730743
   30.6249340   40.6834860
   30.3623750   40.7145409
   30.4142630   40.7510390
   30.4867950   40.9391820
   30.2902660   40.5086350
   30.7447060   40.7950530
   30.5400970   40.6428820
   30.6923560   41.0956150
   30.3077000   41.0332999
   30.8509000   41.0555000
   30.1692400   40.5056840
   30.2614280   40.6896800
   30.3948169   40.7730743
   30.4807911   40.8840928
   30.4921270   40.3965699
   36.0307504   41.4767864
   35.5986500   41.6042940
   36.2349710   41.0371230
   36.3360667   41.2797031
   36.6308300   40.9896070
   35.9056860   41.5619590
   36.3360667   41.2797031
   36.7218210   41.1985230
   35.6669820   40.9682630
   36.3360667   41.2797031
   36.0423720   41.0791240
   35.8948250   40.9120470
   36.8252550   41.0822900
   36.4631270   41.2132689
   36.9720550   41.2086470
   35.4605940   41.1431110
   35.5304900   41.6312320
   41.7851940   38.1626490
   42.1798770   37.7505170
   41.7027890   37.9269440
   42.5476079   37.9326470
   41.9419780   37.9274040
   42.0293450   38.0622430
   42.0116590   37.9498810
   34.5883540   41.9458060
   34.7711200   41.4661050
   35.2636690   41.6511670
   35.0520860   41.4169580
   34.9095270   41.8800950
   35.1920100   41.8005990
   34.8472220   41.3281480
   35.1517250   42.0279740
   34.3369530   41.9484210
   38.3463680   40.0789440
   36.7458380   39.2734600
   38.1185210   39.3748850
   37.5375980   40.2140340
   36.0717320   39.1848720
   38.6086780   40.0612160
   37.2711670   38.7213489
   37.3895810   39.8560230
   38.1125010   39.8753580
   37.3888490   39.2358680
   37.8321850   40.3015380
   37.0150217   39.7505450
   38.0915000   40.1631540
   36.4077500   39.3501950
   37.0410449   39.4445740
   36.6003960   39.8666760
   37.7572360   39.8984450
   38.9484400   36.7133490
   37.9774760   37.0249930
   38.5264680   37.3614790
   40.0473980   36.8530580
   38.7955149   37.1674039
   37.8684640   37.2482360
   39.3124988   37.7506386
   39.0242760   36.8631310
   38.9584620   37.5890470
   38.8100855   37.2271346
   39.3177160   37.7541040
   38.4242870   36.9751199
   39.7623780   37.2358670
   43.1082301   37.6624457
   42.1854740   37.3323460
   41.9124420   37.4721150
   41.8934000   37.3402000
   42.4713000   37.2487000
   42.4537140   37.5189740
   42.8568590   37.4451100
   28.0003360   41.2833740
   27.8137319   41.1558120
   27.5014355   40.9830226
   27.1067830   41.2134500
   27.9773590   41.3244330
   26.9038860   40.8937560
   27.9548400   40.9693320
   27.4963300   41.1726200
   27.9215880   41.4410860
   27.5116740   40.9780919
   27.1114200   40.6148640
   36.9035350   40.3760640
   36.3013750   40.1179640
   37.1367034   40.5652547
   36.5712470   40.6727260
   36.9511850   40.5901590
   36.2847490   40.2772549
   37.3360330   40.3924060
   36.0837560   39.9975049
   36.5521928   40.3234643
   36.0878230   40.3861580
   36.2203550   40.0064710
   35.8867220   40.3018470
   39.5708680   41.0220420
   40.0551530   40.9397160
   39.9372150   40.9539560
   39.2312530   41.0516600
   39.3811500   41.0821780
   40.2423620   40.7484840
   40.2477660   40.7991180
   39.4252090   40.8740730
   40.3675460   40.8888140
   40.1234800   40.8084500
   39.6106620   40.8142210
   40.2633240   40.9434449
   39.7198525   41.0054651
   40.1187580   40.9113650
   39.1930330   40.9419590
   39.2908130   40.8864520
   39.2790240   41.0458330
   39.8670029   40.9540170
   38.9123720   39.0625750
   39.2186700   39.1080250
   39.6051120   39.0185440
   39.8285440   39.1811630
   39.2165880   39.3570440
   39.3245660   38.8677700
   39.8953940   39.4865039
   39.5482590   39.1061700
   29.7531740   38.7398200
   28.9713840   38.3998800
   29.5314980   38.3199450
   29.6838640   38.4999030
   29.2904510   38.4216600
   29.4058825   38.6742286
   42.8058860   38.1266279
   44.0149000   38.0476000
   43.9140000   39.1420000
   43.0589600   38.0078440
   43.2411530   38.4227450
   43.3591490   39.0290690
   43.1055000   38.2978000
   43.5632679   38.2098937
   43.3703044   38.4920082
   43.7672630   38.9945420
   43.9893000   38.6582999
   44.1701000   38.6505000
   43.3729793   38.5012085
   29.5101080   40.6966449
   28.8293870   40.5188420
   29.1192410   40.6451560
   29.3153460   40.6627480
   29.1743470   40.6060820
   29.2841860   40.6548950
   35.8822680   39.6601799
   35.2863040   40.1285710
   35.2468330   39.1936670
   35.5171960   39.2433760
   35.6445310   39.3048920
   35.4975090   40.0710849
   35.7915850   39.9972090
   35.5100369   39.6927949
   35.3755219   39.4936970
   35.1903800   39.8128210
   34.7582230   39.5004860
   35.0031260   39.2119880
   34.4694250   39.6416120
   34.8085730   39.8210490
   31.3845300   41.1826900
   32.0772040   41.4286440
   31.9544670   41.2214120
   31.4202600   41.2799090
   32.1431970   41.3060440
   31.8669620   41.4881710
   31.7539810   41.4388500
   31.7893800   41.4535210
